Processo;Código do Cliente;Cliente;Data Bal.;Geração média de caixa;Último Balanço > 1460 dias;ROB para data base;Soma 3 últimos Lucros Líquidos ;Patrimônio Líquido - Última DF;Risco;Dívida Líquida / Ebitda;Dívida / ROB;Dívida;Aplicações de Liquidez Imediata;Nível BACEN;Possui Audit.Externa?;Audit. Big 4
382783;531453;SUPERMERCADO TEJOTAO DE ARAGUARI LTDA;43100;2246139,163;Não;58171406,16;5232817,03;3447968,18;C ;0,309945344;0,019438588;302320;1000;C ;N;NULL
383291;215836;LATICINIOS CRUZILIENSE LTDA;43100;1560642,587;Não;54441312;2759492,57;941131;C ;1,405148036;0,134735732;829590;0;C ;N;NULL
383594;7606;VAMTEC LTDA;43100;-914006,6667;Não;32994145;-5010425;13794748;C ;-0,499050577;0,052725415;1739630,31;128031;C ;N;NULL
383614;338812;FESTCOLOR ARTIGOS DE FESTAS LTDA.;43100;7868433,617;Não;67285854,37;22273712,17;36103562,96;AA;0,098479568;0,072852539;4047011,54;3758860,02;AA;N;NULL
383883;2704;LEUCOTRON EQUIPAMENTOS LTDA;43100;2435185,443;Não;34050313;4720834,33;28629173,48;B ;-3,260109419;0,018001494;1418323,08;7900729;B ;S;N
384473;518168;COOP CONSUMO MORADORES REG. INCONFIDENTES LT;43100;236520,5967;Não;48172987,93;-1378523,67;4720334,52;B ;0,620461765;0,097428875;633070,75;2526020,95;B ;N;NULL
384814;994293;J.A.C INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;43100;3685790,877;Não;30962844,08;8336735,12;6302086,66;C ;0,412843911;0,103438313;2057990;1371997,23;C ;N;NULL
385307;804259;ACERO AGRONEGOCIOS LTDA;43100;5558223,827;Não;40247031,95;15942009,09;21372988,96;A ;0,196500042;0,028814299;145880;99520,08;A ;N;NULL
385789;890446;W2 AGRONEGOCIOS LTDA;43100;4627042,33;Não;73559947,18;13881126,99;10299352,41;C ;2,2953796;0,162733355;2024450;6994752,26;C ;N;NULL
386002;986099;TOTAL COMERCIO INDUSTRIA DE CEREAIS EIRELI;43100;611042,3333;Não;44501061;1833127;843809;C ;0,219266051;0,00525583;110350;0;C ;N;NULL
386518;912132;CAC ENGENHARIA S/A;43100;13064920,33;Não;69884847;37396044;32278760;C ;0,673725802;0,110942305;692120;0;C ;N;NULL
386929;417456;FERMONTES COMERCIO LTDA;43100;530018,3067;Não;32658692,88;723435,71;2231112,45;AA;0,779553328;0,018747842;247670;18244,11;AA;N;NULL
387461;756969;PSP INTERMEDIACAO DE SERVICOS LTDA;43100;4147334,333;Não;31641677;10990555;2178597;B ;0,03442407;0,108560396;1587980;3223084;B ;S;N
389209;993816;TRANSVITA LTDA;43100;-134380,39;Não;33689756,6;-406041,17;-3842525,77;D ;9,279640073;0,157864898;187070;0;D ;N;NULL
389616;376006;COOP REG. DOS CAFEIC. VALE DO RIO VERDE LTDA;43100;2980899,657;Não;89757380;7515276,22;20214235;C ;10,39444115;0,465744432;7410209,82;4998947;C ;S;N
390261;383534;GLOBAL HOSPITALAR IMPORTACAO E COMERCIO LTDA;43100;2406208,39;Não;45369477,81;7034353,28;4663091,91;A ;2,464714497;0,076438173;65970;529975,56;A ;N;NULL
390519;627853;DIVISA DIVINOPOLIS VEICULOS LTDA;43100;591542,5867;Não;38649849,4;1221912,42;7341442,57;B ;6,707771157;0,326901903;4518814,74;3463056,23;B ;N;NULL
390782;329077;COOPERATIVA DOS CAFEICULTORES DO CERRADO DE A;43100;-241333,3333;Não;64189000;-3446000;17641000;D ;12,2045264;0,564941034;5351480;7143000;D ;S;N
391246;306254;BIOLOGISTICA SOLUCOES EM LOGISTICA E SERVICOS;43100;6731113,617;Não;31096576,4;19839903,89;7295389,83;B ;-0,428854035;0,045833663;1323801,93;4363459,54;B ;N;NULL
391612;399834;UNIMED DE SAO LOURENCO COOP. TRAB. MEDICO;43100;2526480,667;Não;68207077;7518644;16160754;A ;-2,423581098;0,005530511;0;6754847;A ;S;N
394333;1685;ENGEFRIL INDUSTRIA E COMERCIO LTDA;43100;72335,7067;Não;54856128,58;-3913520,17;14118851,88;C ;5,256207354;0,128700253;252570;0;C ;N;NULL
397663;508314;VENTURE VEICULOS LTDA;43100;431236,22;Não;32172594,72;334089,05;6540598,6;A ;8,844231159;0,150799463;46410;688762,88;A ;N;NULL
399244;452268;GERENCIANET PAGAMENTOS DO BRASIL LTDA;43100;4094333,333;Não;38664613;10751146;9266227;A ;-3,031125521;0,000835389;0;36584579;A ;S;N
399379;287068;ENDOLATINA COMÉRCIO E REPRESENTAÇÕES LTDA.;43100;8759154,863;Não;35966136,54;25095249,59;49430951,36;AA;0,274598472;0,133852481;2003579,37;1140583,19;AA;N;NULL
400681;779829;EBES SISTEMAS DE ENERGIA SA;43100;-10170878,33;Não;50391767;-31921631;55267660;C ;-1,430737445;0,498091305;0;51330259;C ;S;S
402364;448026;OLIVEIRA JUNIOR AGRO COMERCIAL INDUSTRIAL EIR;43100;-1192961,16;Não;58469007,88;-3578883,48;-9941565,57;C ;-0,066788449;0,006724515;73060;9840,59;C ;N;NULL
402707;196023;FRIGORIFICO SABOR DE MINAS LTDA;43100;5932141,85;Não;81391451,61;15390079,73;17722277,26;B ;0,137957596;0,011004964;895710;0;B ;N;NULL
406489;321458;CENTERFRIO DISTRIBUIDORA DE PRODUTOS ALIMENTI;43100;1442556,947;Não;36937277,31;3721783,84;3839128,96;AA;0,519639911;0,027453957;949487,16;433372,62;AA;N;NULL
407530;626552;SIGMA ACO TUBOS E PERFILADOS LTDA;43100;2221212,483;Não;46551896,82;3545212,03;19150773,85;C ;0,363830232;0,03281993;1003234,04;492515,7;C ;N;NULL
407942;622742;SUPERMERCADO PERIGOLO LTDA;43100;480077,2433;Não;38571979,32;1348116,54;1491230,32;A ;2,356388947;0,075532292;1892494,19;12179,41;A ;N;NULL
408311;241168;IMBALLAGGIO LTDA;43465;1692902,65;Não;52623496,95;3110607,59;5117191,87;C ;3,215234342;0,133799286;4402091;0;C ;N;NULL
408745;311137;SUPERFERTIL FERTILIZANTES LTDA;43465;723050,9233;Não;42252285,54;2014196,38;3034435,02;C ;1,282713498;0,070050175;1811950;29980,97;C ;N;NULL
408976;5979;FABRICA DE TECIDOS SANTA MARGARIDA S/A;43465;1009544,1;Não;34116753,48;-1337306,75;9124798,29;C ;1,880285107;0,151018473;2979415,97;690522,5;C ;N;NULL
409430;33055;CLAMPER INDUSTRIA E COMERCIO S/A;43100;7626680,667;Não;64986241;19734473;19086112;NULL;1,311794513;0,309495821;6032701,1;0;NULL;S;
409553;66828;IND.COM. CAFE E QUEIJOS LELO LTDA;43100;4210206,6;Não;79777179,71;11824899,36;6582231,87;B ;1,652084496;0,183058913;9283044,44;0;B ;N;NULL
409886;32962;VIACAO SANDRA LTDA;43465;3300927,433;Não;35267722,35;3535704,54;15706525,53;C ;0,059342766;0,007202512;254060;0;C ;N;NULL
410000;245463;FORNAC FUNDICAO DE ACOS ESPECIAIS LIMITADA;43465;3894633,897;Não;88145224,25;7910325,4;17697137,59;C ;1,811402154;0,147118351;3990580;0;C ;N;NULL
410145;1030249;UNIMED ITABIRA COOPERATIVA DE TRABALHO MEDICO;43465;2461642,197;Não;54576288,26;7169474,43;17767087,56;A ;-1,126238796;0;Não possui balanço cadastrado;5820457,89;A ;N;NULL
411163;194550;LABORATORIO GLOBO LTDA;43465;4829681,727;Não;84220119,01;3910551,65;62426205,59;C ;0,58505577;0,069020206;3260520;1020509,75;C ;N;NULL
411284;54809;SQUADRA TECNOLOGIA S/A;43465;4558028;Não;63638527;12633609;25251153;AA;-0,217347006;0,091649623;5640200;6935530;AA;S;N
411393;436481;CONDUTEC INDUSTRIA DE MATERIAIS FERROVIARIOS;43465;4126771,46;Não;57331368,69;10266729,22;13744041,47;C ;1,111938042;0,112338624;1926050;20583,36;C ;N;NULL
411557;507860;CAFE BRASIL IND. COM. .EXPORT. LTDA;43465;8482396,22;Não;76874817,53;21734572,94;988768,58;D ;2,141005503;0,485179428;4842861,86;789428,43;D ;N;NULL
412525;410733;TRANSREFER TRANSPORTE E LOGISTICA LTDA;43100;2258878,16;Não;39550301,61;1800846,74;1437128,66;C ;2,238884353;0,225975774;7424195,29;377037,87;C ;N;NULL
412639;33152;ROLIMAC ROLAMENTOS LTDA;43100;2784865,41;Não;46330872,6;7696628,019;11838354,03;AA;0,675155568;0,068014041;99030;489596,44;AA;N;NULL
413439;313;LABTEST DIAGNOSTICA S/A;43465;9233666,667;Não;63402000;16534000;38864000;C ;0,524670066;0,126431343;3572620;1019000;C ;S;S
413455;309814;POWERPC COM. EQUIP. INFORMATICA LTDA;43465;808860,05;Não;89885018,89;2199943,74;1690963,33;AA;5,926479578;0,154082518;2217510;187730,35;AA;N;NULL
413540;464561;LATARINI & PERES LTDA;43465;3531021,54;Não;62373649,75;536438,6;6315248,42;A ;1,288960216;0,116512021;860547,25;235225,68;A ;N;NULL
413599;125854;EMPRESAS GOMES LTDA;43465;400169,9333;Não;54082607,25;893870,03;5260322,34;AA;1,880792391;0,085216135;306090;241796,87;AA;N;NULL
